,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
3393,8.90E+11,291752811,HP INC. - SB MOBILITY,,T8Z04UT#ABA,291752811,889894777331,00889894777331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,8.85E+11,270277520,Panasonic,,PT-VW530U,270277520,885170204782,00885170204782,,,,,,Yes,,,,,,,,,,,,LCD Projector,PT-VW530U,Panasonic,PT-VW530,Portable LCD Projector,PT-VZ570,Panasonic,,,"PT-VW530 LCD Projector1 x Power Cord with Power Cord Holder1 x Wireless Remote Control Unit2 x Batteries (AAA/R03/LR03 Type)1 x Computer CableSoftware CD-ROM (Logo Transfer Software, Multi Projector Monitoring &amp;amp; Control Software)",,,,,,10.58 lb,,"4.9""","15.3""","13.1""",,,,,,,,,,,,,,,
3396,8.84E+11,292341061,Dell Marketing USA  LP,,ANW17-7500SLV,292341061,884116166276,00884116166276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,8.89E+11,276905511,HP INC. - SB NOTEBOOKS,,L3Z38UT#ABA,276905511,889296180944,00889296180944,Lithium Polymer (Li-Polymer),3-cell,,Yes,,,Yes,3,3,16:9,1366 x 768,"12.5""",Intel,HD Graphics 5500,DDR3 SDRAM,Shared,,Notebook,L3Z38UT#ABA,HP Inc.,,EliteBook 820 G2 Notebook PC (ENERGY STAR),820 G2,HP,8 GB,DDR3L SDRAM,EliteBook 820 G2 Notebook PC (ENERGY STAR)Lithium Polymer BatteryAC AdapterWindows 8.1 Pro License Media,Yes,ENERGY STAR /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.95 lb,Black,"0.8""","12.2""","8.5""",No,180 GB,2.30 GHz,Core i5,i5-5300U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,3 Year,Yes,,No,
3399,8.90E+11,293353804,Toshiba,,PT16BU-00K00D,293353804,889661133780,00889661133780,,,,,Yes,Yes,Yes,,2,16:9,1920 x 1080,"12.5""",Intel,HD Graphics 515,LPDDR3,Shared,In-plane Switching (IPS) Technology,2 in 1 Ultrabook,PT16BU-00K00D,Toshiba,Z20t-C2110,Port&amp;eacute;g&amp;eacute; Z20t-C2110 2 in 1 Ultrabook,Z20t-C,Toshiba,4 GB,LPDDR3, Port&amp;eacute;g&amp;eacute; Z20t-C2110 2 in 1 Ultrabook Lithium Ion Battery AC Adapter Active Digitizer Pen LED Backlit Keyboard with Lithium Ion Battery ,Yes,ENERGY STAR /  RoHS /  EPEAT Gold /  WEEE,Yes,Yes,IEEE 802.11ac,3.30 lb,Graphite Black Metallic,"0.8""","12.2""","8.5""",No,128 GB,1.10 GHz,Core M,m5-6Y57,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,3 Year,,,,
3402,8.84E+11,277141992,Dell,,5XD9V,277141992,884116154792,00884116154792,Lithium Ion (Li-Ion),4-cell,,,Yes,Yes,Yes,3,3,16:9,1366 x 768,"12.5""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,,Ultrabook,5XD9V,"Dell, Inc",E7250,Latitude 12 7000 E7250 Ultrabook,12 7000,Dell,8 GB,DDR3L SDRAM,Latitude 12 7000 E7250&amp;nbsp;UltrabookLithium Ion BatteryAC Adapter,Yes,ENERGY STAR 6.0,Yes,Yes,IEEE 802.11ac,2.80 lb,Black,"0.8""","12.2""","8.3""",No,256 GB,2.30 GHz,Core i5,i5-5300U,Dual-core (2 Core),Intel,Windows 7 Professional,64-bit,Windows,3 Year,Yes,,No,
3405,22265927908,276797317,Toshiba,,PT15AU-001002,276797317,022265927908,00022265927908,Lithium Ion (Li-Ion),3-cell,15.75 Hour,,Yes,Yes,Yes,2,2,16:9,1920 x 1080,"12.5""",Intel,HD Graphics 5300,,Shared,In-plane Switching (IPS) Technology,2 in 1 Ultrabook,PT15AU-001002,Toshiba,Z20t-B2110,Port&amp;eacute;g&amp;eacute; Z20t-B2110 2 in 1 Ultrabook,Z20t-B,Toshiba,4 GB,DDR3L SDRAM,Port&amp;eacute;g&amp;eacute;&amp;nbsp;Z20t-B2110&amp;nbsp;2 in 1 UltrabookLithium Ion&amp;nbsp;BatteryAC AdapterStylusKeyboard Dock with&amp;nbsp;Lithium Ion BatteryWindows 8.1 Pro License Media,Yes,ENERGY STAR /  RoHS /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.33 lb,Graphite Black Metallic,"0.8""","12.2""","8.5""",No,128 GB,1.10 GHz,Core M,5Y51,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,3 Year,Yes,Yes,Yes,
3406,8.84E+11,287762460,Dell Consumer,,AW13R2-12222SLV,287762460,884116169222,00884116169222,Lithium Ion (Li-Ion),4-cell,10.50 Hour,,,Yes,Yes,2,2,16:9,3200 x 1800,"13""",NVIDIA,GeForce GTX 960M,GDDR5,Dedicated,In-plane Switching (IPS) Technology,Notebook,AW13R2-12222SLV,Alienware Corporation,13-R2,13-R2 Notebook,13,Alienware,16 GB,DDR3L SDRAM, 13-R2 Notebook Lithium Ion Battery AC Adapter ,,,,Yes,IEEE 802.11ac,4.54 lb,Epic Silver,"1.1""","12.9""","9.3""",No,,2.50 GHz,Core i7,i7-6500U,Dual-core (2 Core),Intel,,,,,Yes,,Yes,
3410,6.11E+11,295836804,FUJITSU MOBILITY,,SPFC-T936-001,295836804,611343099899,00611343099899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411,1.90E+11,292032985,Lenovo,Lenovo,20FQ000RUS,292032985,190151210394,00190151210394,,,,,Yes,,,,,16:9,1920 x 1080,"14""",,,,,,2 in 1 Notebook,20FQ000RUS,Lenovo Group Limited,20FQ000RUS,ThinkPad X1 Yoga 20FQ000RUS 2 in 1 Notebook,X1 Yoga,Lenovo,8 GB,, ThinkPad X1 Yoga 20FQ000RUS 2 in 1 Notebook AC Adapter Stylus ,,,,Yes,IEEE 802.11ac,,,,,,,256 GB,2.30 GHz,Core i5,i5-6200U,Dual-core (2 Core),Intel,Windows 10 Pro (English),64-bit,Windows,,,,,
3412,8.86E+11,285959965,Asus,Asus,Q551LN-BBI706R,285959965,886227763474,00886227763474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,8.90E+11,293075047,HP INC. - SB NOTEBOOKS,,T6F48UT#ABA,293075047,889894869388,00889894869388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3414,8.86E+11,261249672,Asus,Asus,90NB02N4-M03210,261249672,886227678327,00886227678327,Lithium Polymer (Li-Polymer),6-cell,,,,,,2,2,16:9,1920 x 1080,"13.3""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Ultrabook,UX31LA-DS71T,ASUS Computer International,UX31LA-DS71T,ZENBOOK Touch UX31LA-DS71T Ultrabook,UX31LA,Asus,8 GB,DDR3L SDRAM,ZENBOOK Touch UX31LA-DS71T UltrabookLithium Polymer BatteryAC Adapter,Yes,RoHS /  EU Ecolabel /  ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.10 lb,Aluminum Gray,"0.7""","12.8""","8.9""",No,128 GB,1.80 GHz,Core i7,i7-4500U,Dual-core (2 Core),Intel,Windows 8.1,64-bit,Windows,1 Year,Yes,Yes,Yes,
3415,8.15E+11,294339684,VAIO,,VJS131X0111B,294339684,814926020178,00814926020178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,8.89E+11,271279960,HP INC. - SB MOBILE WKS,,F1M31UT#ABA,271279960,888793817834,00888793817834,Lithium Ion (Li-Ion),8-cell,,,,,Yes,4,3,16:9,1920 x 1080,"15.6""",NVIDIA,Quadro K610M,GDDR5,Dedicated,,Mobile Workstation,F1M31UT#ABA,HP Inc.,,ZBook 15 G2 Mobile Workstation (ENERGY STAR),15 G2,HP,8 GB,DDR3L SDRAM,ZBook 15 G2 Mobile Workstation (ENERGY STAR)Lithium Ion BatteryAC AdapterWindows 8.1 Pro License Media,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n/ac,6.13 lb,,"1.2""","15""","10.1""",DVD-Writer,,2.50 GHz,Core i7,i7-4710MQ,Quad-core (4 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro (English),64-bit,Windows,3 Year,Yes,,,
3417,8.86E+11,251954062,Apple,,MD761LL/A,251954062,885909630899,00885909630899,Lithium Polymer (Li-Polymer),,12 Hour,,Yes,,,2,2,16:10,1440 x 900,"13.3""",Intel,HD 5000,DDR3 SDRAM,Shared,,Notebook,MD761LL/A,"Apple, Inc",MD761LL/A,13-inch MacBook Air,,Apple,4 GB,DDR3 SDRAM, 13-inch MacBook Air Lithium Polymer Battery 45W MagSafe 2 Power Adapter AC Wall Plug Power Cord Printed and Electronic Documentation User's Guide Accessory Kit ,Yes,EPEAT Gold /  ENERGY STAR 5.2,Yes,Yes,IEEE 802.11a/b/g/n,2.96 lb,,"0.7""","12.8""","8.9""",,256 GB,1.40 GHz,Core i5,,Dual-core (2 Core),Intel,Mac OS X 10.9 Mavericks,,Mac OS,1 Year,,,,
3418,8.85E+11,269974999,Panasonic,,CF-532JCZACM,269974999,885170225800,00885170225800,Lithium Ion (Li-Ion),,10 Hour,,,Yes,Yes,4,2,16:9,1366 x 768,"14""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,CircuLumin,Notebook,CF-532JCZACM,Panasonic,CF-532JCZACM,Toughbook CF-532JCZACM Notebook,53,Panasonic,4 GB,DDR3L SDRAM,Toughbook CF-532JCZACM NotebookLithium Ion BatteryAC Adapter,Yes,ENERGY STAR /  RoHS /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n/ac,5.60 lb,Black /  Silver,"2.2""","13.4""","11.1""",DVD-Writer,,2 GHz,Core i5,i5-4310U,Dual-core (2 Core),Intel,Windows 7 Professional,,Windows,3 Year,,,No,
3419,8.90E+11,294144173,HP INC. - SB MOBILE WKS,,V1H63UT#ABA,294144173,889894907684,00889894907684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,8.88E+11,256166698,Lenovo,,20AN006GUS,256166698,888228536255,00888228536255,Lithium Ion (Li-Ion),6-cell,7.40 Hour,Yes,,,Yes,4,2,16:9,1600 x 900,"14""",Intel,HD 4600,DDR3L SDRAM,Shared,,Notebook,20AN006GUS,Lenovo Group Limited,20AN006GUS,ThinkPad T440p 20AN006GUS Notebook,T440p,Lenovo,4 GB,DDR3L SDRAM, ThinkPad T440p 20AN006GUS Notebook Lithium Ion Battery AC Adapter Windows 8 Pro License Media ,Yes,EPEAT Gold /  ENERGY STAR 5.0 /  GREENGUARD /  RoHS,Yes,Yes,IEEE 802.11a/b/g/n/ac,4.72 lb,Black,"1.2""","13.2""","9""",DVD-Writer,180 GB,2.60 GHz,Core i5,i5-4300M,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,Windows,3 Year,Yes,,No,
3422,8.84E+11,295486321,Dell,,GM3G4,295486321,884116229537,00884116229537,,4-cell,,,Yes,Yes,Yes,,3,16:9,1920 x 1080,"15.6""",AMD /  Intel,FirePro W5130M /  HD Graphics 530,GDDR5 /  DDR4 SDRAM,Dedicated /  Shared,In-plane Switching (IPS) Technology,Mobile Workstation,GM3G4,"Dell, Inc",M3510,3510 Mobile Workstation,15 3000,Dell,8 GB,DDR4 SDRAM, 3510 Mobile Workstation Standard Battery AC Adapter Windows 10 OS Recovery 64bit - DVD ,Yes,ENERGY STAR 6.1,Yes,Yes,IEEE 802.11ac,4.92 lb,,"1""","14.6""","9.9""",No,,2.70 GHz,Core i7,i7-6820HQ,Quad-core (4 Core),Intel,Windows 7 Professional Upgradable to Windows 10 Pro (English/French/Spanish),64-bit,Windows,3 Year,Yes,,No,
3423,8.90E+11,294541337,HP INC. - SB NOTEBOOKS,,W0R79UT#ABA,294541337,889899390870,00889899390870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,8.89E+11,297313090,Asus,Asus,90NB0AP1-M00280,297313090,889349393987,00889349393987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,8.84E+11,276661910,Dell,,ANW13-2273SLV,276661910,884116165361,00884116165361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,8.45E+11,274807445,CybertronPC,,TNB2174A,274807445,844750021201,00844750021201,,,,,Yes,Yes,Yes,4,2,16:9,1920 x 1080,"17.3""",NVIDIA,GeForce GTX 860M,,Dedicated,,Notebook,TNB2174A,CybertronPC,NB2174A,Matrix TNB2174A Gaming Laptop,,CybertronPC,16 GB,DDR3 SDRAM, Matrix TNB2174A Gaming Laptop Standarrd Battery AC Adapter ,,,Yes,No,,,,,,,DVD-Writer,,2.40 GHz,Core i7,i7-4700MQ,Quad-core (4 Core),Intel,Windows 8.1,64-bit,Windows,1 Year,,,,
3435,8.45E+11,274807322,CybertronPC,,TNB2174B,274807322,844750021218,00844750021218,,,,,Yes,Yes,Yes,4,2,16:9,1920 x 1080,"15.6""",NVIDIA,GeForce GTX 860M,,Dedicated,,Notebook,TNB2174B,CybertronPC,NB2174B,Matrix TNB2174B Gaming Laptop,,CybertronPC,16 GB,DDR3 SDRAM, Matrix TNB2174B Gaming Laptop Standard Battery AC Adapter ,,,Yes,No,,,,,,,DVD-Writer,,2.40 GHz,Core i7,i7-4700MQ,Quad-core (4 Core),Intel,Windows 8.1,64-bit,Windows,1 Year,,,,
3437,8.84E+11,276768343,Dell,,ANW17-7493SLV,276768343,884116165637,00884116165637,Lithium Ion (Li-Ion),8-cell,,,,Yes,Yes,4,4,16:9,1920 x 1080,"17.3""",NVIDIA,GeForce GTX 980M,GDDR5,,,Notebook,ANW17-7493SLV,Alienware Corporation,17-R2,17-R2 Notebook,17,Alienware,16 GB,DDR3L SDRAM,17-R2&amp;#160;NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11ac,8.33 lb,Epic Silver,"1.4""","16.9""","11.5""",No,128 GB,2.50 GHz,Core i7,i7-4710HQ,Quad-core (4 Core),Intel,Windows 8.1 (English),64-bit,Windows,,Yes,,Yes,
3439,8.85E+11,269587448,Panasonic,,CF-532ALP8CM,269587448,885170228627,00885170228627,Lithium Ion (Li-Ion),,15 Hour,,,Yes,Yes,4,2,16:9,1366 x 768,"14""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,,Notebook,CF-532ALP8CM,Panasonic,CF-532ALP8CM,Toughbook CF-532ALP8CM Notebook,53,Panasonic,4 GB,DDR3L SDRAM,Toughbook CF-532ALP8CM NotebookLithium Ion BatteryAC AdapterWindows 8.1 Pro License Media,Yes,RoHS /  ENERGY STAR /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n/ac,5.80 lb,,"2.2""","13.4""","11.1""",DVD-Writer,,2 GHz,Core i5,i5-4310U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,,Windows,3 Year,,,No,
3440,8.86E+11,279426142,Asus,Asus,UX303LN-DB71T-CA,279426142,886227777211,00886227777211,Lithium Polymer (Li-Polymer),3-cell,,,Yes,Yes,,3,3,16:9,3200 x 1800,"13.3""",NVIDIA,GeForce GT 840M,DDR3 SDRAM,Dedicated,In-plane Switching (IPS) Technology,Ultrabook,UX303LN-DB71T-CA,ASUS Computer International,UX303LN-DB71T-CA,ZENBOOK UX303LN-DB71T-CA Ultrabook,UX303LN,Asus,8 GB,DDR3L SDRAM, ZENBOOK UX303LN-DB71T-CA Ultrabook Lithium Polymer Battery AC Adapter Bag ,Yes,RoHS /  ENERGY STAR,Yes,Yes,IEEE 802.11 a/g/n,3.20 lb,Smoky Brown,"0.8""","12.7""","8.8""",,256 GB,2 GHz,Core i7,i7-4510U,Dual-core (2 Core),Intel,Windows 8.1,64-bit,Windows,1 Year,Yes,,Yes,
3442,8.90E+11,293074975,Hewlett Packard,,V1H19UT#ABA,293074975,889894869593,00889894869593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,1.90E+11,294609816,Lenovo,Lenovo,20FB002RUS,294609816,190151850354,00190151850354,Lithium Polymer (Li-Polymer),4-cell,,Yes,Yes,Yes,Yes,3,3,16:9,1920 x 1080,"14""",Intel,HD Graphics 520,LPDDR3,Shared,In-plane Switching (IPS) Technology,Ultrabook,20FB002RUS,Lenovo Group Limited,20FB002RUS,ThinkPad X1 Carbon 20FB002RUS Ultrabook,X1 Carbon,Lenovo,8 GB,LPDDR3,ThinkPad X1 Carbon 20FB002RUS UltrabookLithium Polymer BatteryAC Adapter Windows 10 Pro License Media,,,Yes,Yes,IEEE 802.11ac,2.65 lb,Business Black,"0.7""","13.1""","9""",,256 GB,2.30 GHz,Core i5,i5-6200U,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 10 Pro (English),64-bit,Windows,3 Year,Yes,,No,
3446,8.90E+11,287699705,HP INC. - SB NOTEBOOKS,,P3E04UT#ABA,287699705,889894316035,00889894316035,Lithium Ion (Li-Ion),4-cell,13.25 Hour,,,,Yes,3,3,16:9,1600 x 900,"14""",Intel,HD Graphics 4400,DDR3 SDRAM,Shared,,Ultrabook,P3E04UT#ABA,HP Inc.,,EliteBook Folio 9480m Notebook PC (ENERGY STAR),9480m,HP,8 GB,DDR3 SDRAM,EliteBook Folio 9480m Notebook PC (ENERGY STAR)Lithium Ion BatteryAC AdapterWindows 10 Pro Lisence Media,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11a/b/g/n/ac,3.55 lb,,"0.7""","13.3""","9.1""",,256 GB,,Core i7,,,Intel,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,3 Year,Yes,,,
3447,8.90E+11,284720413,HP INC. - SB NOTEBOOKS,,P0C07UT#ABA,284720413,889894149657,00889894149657,,,,,Yes,,Yes,2,2,16:9,1366 x 768,"11.6""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,,Tablet PC,P0C07UT#ABA,HP Inc.,,EliteBook Revolve 810 G3 Tablet (ENERGY STAR),810 G3,HP,8 GB,DDR3L SDRAM, EliteBook Revolve 810 G3 Tablet (ENERGY STAR) Lithium Polymer Battery AC Adapter Power Cord Quick Start Guide ,Yes,IT Eco Declaration /  WEEE /  EU WEEE /  RoHS /  ENERGY STAR,Yes,Yes,IEEE 802.11ac,3.09 lb,Silver,"0.9""","11.2""","8.3""",No,180 GB,2.30 GHz,Core i5,i5-5300U,Dual-core (2 Core),Intel,Windows 10 Pro,64-bit,Windows,3 Year,,,,
3448,8.90E+11,280430909,Lenovo,,10AD002UUS,280430909,889561312483,00889561312483,,,,,,,,6,6,,1920 x 1080,"23""",Intel,HD Graphics 4600,DDR3 SDRAM,Shared,,All-in-One Computer,10AD002UUS,Lenovo Group Limited,10AD002UUS,ThinkCentre M93z 10AD002UUS,M93z,Lenovo,4 GB,,ThinkCentre M93z 10AD002UUSKeyboardMouse,Yes,GREENGUARD /  ENERGY STAR 6.0 /  ULE Gold /  RoHS /  EPEAT Gold,Yes,Yes,,42.20 lb,Business Black,"13""","22.4""",,DVD-Writer,,3 GHz,Core i5,i5-4590S,,Intel,Windows 7 Professional,64-bit,Windows,,,,,
3449,8.90E+11,294038658,HP INC. - SB MOBILE WKS,,V1H62UT#ABA,294038658,889894907660,00889894907660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,8.88E+11,257571508,Hewlett Packard,,F2R88UT#ABA,257571508,888182289051,00888182289051,Lithium Ion (Li-Ion),6-cell,13.46 Hour,,,,Yes,5,5,16:9,1920 x 1080,"15.6""",Intel,HD 4600,DDR3L SDRAM,Shared,,Notebook,F2R88UT#ABA,HP Inc.,,ProBook 650 G1 Notebook PC (ENERGY STAR),650 G1,HP,4 GB,DDR3L SDRAM, ProBook 650 G1 Notebook PC (ENERGY STAR) Lithium Ion Battery AC Adapter Power Cord Windows 8 Pro License Media ,Yes,IT Eco Declaration /  WEEE /  EU WEEE /  RoHS /  ENERGY STAR /  EPEAT Gold,Yes,Yes,IEEE 802.11a/b/g/n,5.10 lb,,"1.1""","14.9""","10.1""",DVD-Writer,180 GB,2.60 GHz,Core i5,i5-4300M,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 8 Pro,64-bit,Windows,3 Year,,,,
3454,8.89E+11,276883965,Lenovo Americas,,20BS003EUS,276883965,888965665591,00888965665591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,8.89E+11,277570017,Lenovo,,20DL0032US,277570017,889233302941,00889233302941,,,,,Yes,,No,2,2,16:9,1920 x 1080,"12.5""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,Ultrabook/Tablet,20DL0032US,Lenovo Group Limited,20DL0032US,ThinkPad Yoga 12 20DL0032US Ultrabook/Tablet,Yoga 12,Lenovo,8 GB,DDR3L SDRAM, ThinkPad Yoga 12 20DL0032US Ultrabook/Tablet Lithium Polymer Battery AC Adapter Stylus ,Yes,EPEAT Gold /  ENERGY STAR /  RoHS,Yes,Yes,IEEE 802.11ac,3.48 lb,Graphite Black,"0.8""","12.4""","8.7""",No,16 GB,2.30 GHz,Core i5,i5-5300U,Dual-core (2 Core),Intel,Windows 8.1 Pro,64-bit,Windows,1 Year,,,,
3457,8.84E+11,294976784,Dell,,3C7XP,294976784,884116228912,00884116228912,Lithium Polymer (Li-Polymer),4-cell,,No,Yes,,,1,1,16:9,1920 x 1080,"13.3""",Intel,HD Graphics 515,LPDDR3,Shared,,Notebook,3C7XP,"Dell, Inc",7370,Latitude 13 7000 7370 Notebook,13 7000,Dell,8 GB,LPDDR3, Latitude 13 7000 7370 Notebook Lithium Polymer Battery AC Adapter ,Yes,ENERGY STAR 6.1,Yes,Yes,IEEE 802.11ac,2.48 lb,,"0.6""","12""","8.3""",No,256 GB,,Core M,,,Intel,Windows 10 Pro (English/French/Spanish),64-bit,Windows,3 Year,Yes,Yes,No,
