ASIN,CustomerReviews>HasReviews,CustomerReviews>IFrameURL,DetailPageURL,ItemAttributes>MPN,ItemAttributes>Model,ItemAttributes>UPC,LargeImage>Height,LargeImage>URL,LargeImage>Width,ListPrice>Amount,ListPrice>CurrencyCode,ListPrice>FormattedPrice,LowestNewPrice>Amount,LowestNewPrice>CurrencyCode,LowestNewPrice>FormattedPrice,MediumImage>Height,MediumImage>URL,MediumImage>Width,OfferAttributes>Condition,OfferSummary>TotalNew,Offers>MoreOffersUrl,Price>Amount,Price>CurrencyCode,Price>FormattedPrice,SalesRank,SmallImage>Height,SmallImage>URL,SmallImage>Width,UPC,UPCList>UPCListElement
B01AC40KSK,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B01AC40KSK&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A13Z&v=2&sig=hyXi8VJl4nrkHmB8y1qmJtDM%2BQp59reUnXthcN4bEXc%3D,http://www.amazon.com/MSI-GS60-4K-238-i7-6700HQ-THUNDERBOLT/dp/B01AC40KSK%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01AC40KSK,9S7-16H712-238; GS60 GHOST,9S7-16H712-238; GS60 GHOST,824142126127,329,http://ecx.images-amazon.com/images/I/41QUZoPFTkL.jpg,500,189900,USD,"$1,899.00",167900,USD,"$1,679.00",105,http://ecx.images-amazon.com/images/I/41QUZoPFTkL._SL160_.jpg,160,New,38,http://www.amazon.com/gp/offer-listing/B01AC40KSK%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01AC40KSK,167900,USD,"$1,679.00",760,49,http://ecx.images-amazon.com/images/I/41QUZoPFTkL._SL75_.jpg,75,824142126127,824142126127
B0146DD02G,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B0146DD02G&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A13Z&v=2&sig=1QdR7fJ9ffiJ%2FqMSPSBedskrj7ectuJl479MCG%2FPJGg%3D,http://www.amazon.com/K501UX-15-6-inch-Gaming-Processor-Windows/dp/B0146DD02G%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0146DD02G,K501UX-AH71,K501UX-AH71,889349200438,375,http://ecx.images-amazon.com/images/I/41WN8y6bohL.jpg,500,79900,USD,$799.00,74999,USD,$749.99,120,http://ecx.images-amazon.com/images/I/41WN8y6bohL._SL160_.jpg,160,New,6,http://www.amazon.com/gp/offer-listing/B0146DD02G%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB0146DD02G,74999,USD,$749.99,248,56,http://ecx.images-amazon.com/images/I/41WN8y6bohL._SL75_.jpg,75,889349200438,889349200438
B016Z1H4ZQ,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B016Z1H4ZQ&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A14Z&v=2&sig=s86EnS%2B%2FMBXizdtQmgsY2H2QS1KUoRsJGpP1YxVkbtY%3D,http://www.amazon.com/HP-17-s010nr-17-3-Inch-Laptop-Intel/dp/B016Z1H4ZQ%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB016Z1H4ZQ,17-s010nr,17-s010nr,889894560643,425,http://ecx.images-amazon.com/images/I/41TkfO8Jz2L.jpg,500,,,,,,Too low to display,136,http://ecx.images-amazon.com/images/I/41TkfO8Jz2L._SL160_.jpg,160,New,5,http://www.amazon.com/gp/offer-listing/B016Z1H4ZQ%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB016Z1H4ZQ,,,Too low to display,11326,64,http://ecx.images-amazon.com/images/I/41TkfO8Jz2L._SL75_.jpg,75,889894560643,889894560643
B015P3SO22,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B015P3SO22&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A14Z&v=2&sig=MgCVETYmK%2FDl9CONB4KYlvxxGwegf1m6Ywaz4QxzcUs%3D,http://www.amazon.com/Alienware-AW17R3-7092SLV-17-3-Inch-Generation-GeForce/dp/B015P3SO22%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015P3SO22,AW17R3-7092SLV,AW17R3-7092SLV,884116203162,500,http://ecx.images-amazon.com/images/I/41PGUKuYDhL.jpg,500,214999,USD,"$2,149.99",192900,USD,"$1,929.00",160,http://ecx.images-amazon.com/images/I/41PGUKuYDhL._SL160_.jpg,160,New,30,http://www.amazon.com/gp/offer-listing/B015P3SO22%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB015P3SO22,203099,USD,"$2,030.99",4891,75,http://ecx.images-amazon.com/images/I/41PGUKuYDhL._SL75_.jpg,75,884116203162,884116203162
B00ZS4HK0Q,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B00ZS4HK0Q&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A15Z&v=2&sig=Zg8EGv%2BL4qg9cfMFbuXCjcWpw%2Fb%2FTGmf2nB9o7dYKxk%3D,http://www.amazon.com/Chromebook-10-1-Inch-Convertible-Touchscreen-Rockchip/dp/B00ZS4HK0Q%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00ZS4HK0Q,C100PA-DB02,C100PA-DB02,889349109946,375,http://ecx.images-amazon.com/images/I/41MW-Z2bY6L.jpg,500,,,,26500,USD,$265.00,120,http://ecx.images-amazon.com/images/I/41MW-Z2bY6L._SL160_.jpg,160,New,62,http://www.amazon.com/gp/offer-listing/B00ZS4HK0Q%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB00ZS4HK0Q,26500,USD,$265.00,54,56,http://ecx.images-amazon.com/images/I/41MW-Z2bY6L._SL75_.jpg,75,889349109946,889349109946
B01CJ384EE,false,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B01CJ384EE&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A20Z&v=2&sig=3IUOXEDHdxVysAqeIA5ytrjMT6KKzgctyNgWJcfUo4E%3D,http://www.amazon.com/Dell-Inspiron-2-1-Touch-Screen/dp/B01CJ384EE%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01CJ384EE,,i3153-5025BLU,884116169161,305,http://ecx.images-amazon.com/images/I/41pAf--zTEL.jpg,500,,,,68250,USD,$682.50,98,http://ecx.images-amazon.com/images/I/41pAf--zTEL._SL160_.jpg,160,,5,0,,,,203425,46,http://ecx.images-amazon.com/images/I/41pAf--zTEL._SL75_.jpg,75,884116169161,884116169161
B0178L9KPO,false,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B0178L9KPO&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A21Z&v=2&sig=O0hCSXKyimh59IpPfIKi0ldE%2FHDBasczNMnhUIP4958%3D,http://www.amazon.com/Dell-Inspiron-I3543-8750BLK-Notebook-Dual-Core/dp/B0178L9KPO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0178L9KPO,i3543-8750BLK,I3543-8750BLK,884116212232,280,http://ecx.images-amazon.com/images/I/31MgQ4bvLZL.jpg,492,,,,46038,USD,$460.38,91,http://ecx.images-amazon.com/images/I/31MgQ4bvLZL._SL160_.jpg,160,New,7,http://www.amazon.com/gp/offer-listing/B0178L9KPO%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB0178L9KPO,49508,USD,$495.08,43218,43,http://ecx.images-amazon.com/images/I/31MgQ4bvLZL._SL75_.jpg,75,884116212232,884116212232
B014MIBQXA,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B014MIBQXA&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A21Z&v=2&sig=ofBvkmdGd5e%2FyMBenPu1JedBfwuOfnIJmnHs%2BmBklNI%3D,http://www.amazon.com/Lenovo-ideapad-100s-Chromebook-80QN0009US/dp/B014MIBQXA%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014MIBQXA,80QN0009US,80QN0009US,889800850318,446,http://ecx.images-amazon.com/images/I/41eNK2MrwGL.jpg,500,17999,USD,$179.99,13799,USD,$137.99,143,http://ecx.images-amazon.com/images/I/41eNK2MrwGL._SL160_.jpg,160,New,38,http://www.amazon.com/gp/offer-listing/B014MIBQXA%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB014MIBQXA,15700,USD,$157.00,621,67,http://ecx.images-amazon.com/images/I/41eNK2MrwGL._SL75_.jpg,75,889800850318,889800850318
B015CQ8PNA,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B015CQ8PNA&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A22Z&v=2&sig=sbDeRAOxHuTPewtmDzvT0olICKFCQizatc%2BATurqJss%3D,http://www.amazon.com/HP-Stream-13-3-Inch-Celeron-Personal/dp/B015CQ8PNA%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015CQ8PNA,13-c110nr,13-c110nr,889894330611,375,http://ecx.images-amazon.com/images/I/41fgiNdEYpL.jpg,500,22999,USD,$229.99,,,Too low to display,120,http://ecx.images-amazon.com/images/I/41fgiNdEYpL._SL160_.jpg,160,New,36,http://www.amazon.com/gp/offer-listing/B015CQ8PNA%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB015CQ8PNA,,,Too low to display,266,56,http://ecx.images-amazon.com/images/I/41fgiNdEYpL._SL75_.jpg,75,889894330611,889894330611
B015A9Z25S,true,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B015A9Z25S&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A22Z&v=2&sig=wSJ6U93zKBxMhgqrVc4%2FrfYID4mBTCpiVWrwgPdTYeQ%3D,http://www.amazon.com/HP-Pavilion-13-s120nr-13-3-Inch-Convertible/dp/B015A9Z25S%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015A9Z25S,13-s120nr,13-s120nr,889894330871,375,http://ecx.images-amazon.com/images/I/41XsUMBnVqL.jpg,500,52999,USD,$529.99,,,Too low to display,120,http://ecx.images-amazon.com/images/I/41XsUMBnVqL._SL160_.jpg,160,New,25,http://www.amazon.com/gp/offer-listing/B015A9Z25S%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB015A9Z25S,42799,USD,$427.99,1119,56,http://ecx.images-amazon.com/images/I/41XsUMBnVqL._SL75_.jpg,75,889894330871,889894330871
B00VGCLGR2,false,http://www.amazon.com/reviews/iframe?akid=AKIAJZXUIQUQZ34J3E5Q&alinkCode=xm2&asin=B00VGCLGR2&atag=djaroo10-20&exp=2016-07-07T11%3A25%3A28Z&v=2&sig=VcOYRdaWxTqNtNYughq%2BR2hxNs0Y1TUuz2wQlIgCQx0%3D,http://www.amazon.com/x040nr-Chrome-2GB-16GB-Ref/dp/B00VGCLGR2%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00VGCLGR2,J9M94UAR#ABA,J9M94UAR#ABA,889296019626,400,http://ecx.images-amazon.com/images/I/417TpuuJM2L.jpg,400,,,,49180,USD,$491.80,160,http://ecx.images-amazon.com/images/I/417TpuuJM2L._SL160_.jpg,160,,1,0,,,,68468,75,http://ecx.images-amazon.com/images/I/417TpuuJM2L._SL75_.jpg,75,889296019626,889296019626
